cat,onnx,vnnlib,prepared,verdict,secs
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_51.vnnlib,0,sat,1
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_49.vnnlib,0,unknown,13
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_50.vnnlib,0,unknown,13
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_52.vnnlib,0,unknown,14
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_53.vnnlib,0,unknown,13
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_54.vnnlib,0,unknown,11
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_55.vnnlib,0,unknown,12
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_56.vnnlib,0,unknown,11
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_57.vnnlib,0,unknown,14
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_58.vnnlib,0,unknown,14
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_59.vnnlib,0,unknown,14
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_60.vnnlib,0,unknown,13
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_61.vnnlib,0,unknown,14
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_62.vnnlib,0,unknown,12
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_63.vnnlib,0,unknown,14
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_64.vnnlib,0,unknown,14
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_67.vnnlib,0,sat,0
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_68.vnnlib,0,sat,0
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_65.vnnlib,0,unknown,14
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_66.vnnlib,0,unknown,13
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_69.vnnlib,0,unknown,13
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_70.vnnlib,0,unknown,12
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_71.vnnlib,0,unknown,12
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_74.vnnlib,0,sat,0
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_72.vnnlib,0,unknown,13
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_73.vnnlib,0,unknown,12
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_75.vnnlib,0,unknown,13
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_76.vnnlib,0,unknown,14
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_77.vnnlib,0,unknown,15
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_78.vnnlib,0,unknown,14
lsnc_relu,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_79.vnnlib,0,unknown,11
